id	Janela	Sentence	tamanho da janela	Palavra alvo	Classe
39	do negro concurso	Há poucos anos , em um dia calmoso do mês de fevereiro , viam-se às três horas da tarde nessa venda certas figuras , formando um quadro quase constantemente ali observado com insignificantes modificações até a hora do negro concurso noturno .	3	negro	negro
54	do negro trabalhador	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	3	negro	negro
82	o negro enfezado	E o negro enfezado e ruim perseguia o crioulinho estimado com a ameaça lúgubre de um futuro tormentoso : – Brinca para aí , pobre coitado !	3	negro	negro
135	O negro escravo	O negro escravo é assim .	3	negro	negro
148	santo negro que	É o santo negro que ajuda os diabos negros !	3	negro	negro
394	um negro escravo	Simeão comprara os cães e um negro escravo da cozinha , e entrava todas as noites na casa de João de Sales .	3	negro	negro
539	um negro escravo	A porta abriu-se , e um negro escravo da fazenda de Domingos Caetano , entrou precipitado , bradando : – Simeão !	3	negro	negro
619	de negro –	– Não faço conta de amizade de negro – observou o Barbudo .	3	negro	negro
689	outro negro recebeu	Chegados à sala de jantar o crioulo mostrou ao lado direito a porta do aposento de Hermano e de Florinda ; dois dos perversos , o Barbudo e um dos negros colocaram-se aos lados dessa porta : o outro negro recebeu a lanterna e seguiu a Simeão que avançou para a frente e entrou no quarto de dormir de sua senhora .	3	negro	negro
693	O negro da	O negro da lanterna deu tão forte pontapé no estômago da velha escrava que a estirou no chão sem sentidos .	3	negro	negro
702	outro negro que	Simeão , esquecendo o golpe que recebera , e o sangue que do ombro lhe corria , deixou um dos negros na sala onde estavam os dois cadáveres e com o Barbudo e o outro negro que levava a lanterna , voltou ao quarto da senhora assassinada , arrombou facilmente a gaveta da velha mesa , e apoderando-se de uma grossa chave , foi ao fundo do quarto , arrancou precipitado uma cortina de chita que cobria pequena parte da parede e mostrando em grande vão que havia nesta uma caixa de jacarandá chapeada de ferro , abriu rápido duas fechaduras , e escancarou a caixa que estava cheia de pequenos sacos contendo moedas de ouro e prata .	3	negro	negro
753	o negro d’África	E assim o negro d’África , reduzido à ignomínia da escravidão , malfez logo e naturalmente a sociedade opressora , viciando-a , aviltando-a pondo-a também um pouco asselvajada , como ele .	3	negro	negro
754	O negro d’África	O negro d’África africanizou quanto pôde e quanto era possível todas as colônias e todos os países , onde a força o arrastou condenado aos horrores da escravidão .	3	negro	negro
760	do negro d’África	Soam os grosseiros instrumentos que lembram as festas selvagens do índio do Brasil e do negro d’África ; vêem-se talismãs rústicos , símbolos ridículos ; ornamentam-se o sacerdote e a sacerdotisa com penachos e adornos emblemáticos e de vivas cores ; prepara-se ao fogo , ou na velha imunda mesa , beberagem desconhecida , infusão de raízes enjoativas e quase sempre ou algumas vezes esquálida ; o sacerdote rompe em dança frenética , terrível , convulsiva , e muitas vezes , como a sibila , se estorce no chão : a sacerdotisa anda como doida , entra e sai , e volta para tornar a sair , lança ao fogo folhas e raízes que enchem de fumo sufocante e de cheiro ativo e desagradável a infecta sala , e no fim de uma hora de contorsões e de dança de demônio , de ansiedade e de corrida louca da sócia do embusteiro , ela volta enfim do quintal , onde nada viu , e anuncia a chegada do gênio , do espírito , do deus do feitiço , para o qual há vinte nomes cada qual mais burlesco e mais brutal .	3	negro	negro
773	o negro feiticeiro	Mas em muitas fazendas há dissimulado , sinistro , fatal o negro feiticeiro .	3	negro	negro
774	o negro feiticeiro	E o negro feiticeiro é um perigo real de todos os dias .	3	negro	negro
776	o negro escravo	Em regra que poucas exceções concede , o negro escravo acredita no poder do feiticeiro , como o velho muçulmano no alcorão de Maomé .	3	negro	negro
779	o negro escravo	Mas que é na realidade o negro escravo feiticeiro ?	3	negro	negro
782	o negro herbolário	O feiticeiro das fazendas e dos estabelecimentos rurais , ainda mesmo dos mais modestos , é , se infelizmente entre os escravos existe , o negro herbolário , o botânico prático que conhece as propriedades e a ação terrível de raízes , folhas e frutas que debilitam , enlouquecem , e fazem morrer o homem ; que abatem com as forças físicas a força moral do homem , e ao que eles chamam – amansar o senhor ; que excitam a luxúria , e os instintos animais ; que atacam o cérebro e corrompem a razão ; que envenenam pouco a pouco dilacerando o estômago e os intestinos até matar no fim de horríveis tormentos , ou que de repente , em poucas horas , em breves minutos assassinam , como o tiro do bacamarte , mas sem o ruído do tiro do bacamarte .	3	negro	negro
783	ao negro analfabeto	Quem deu essa ciência ao negro analfabeto e ignorante ? ...	3	negro	negro
784	o negro atiçou	a rude experiência própria ou a revelação fraternal que o prepararam na África e que mais o armam , escravo na colônia escravagista : iniciado nos venenos vegetais d’África , o negro atiçou a inteligência para fazer o mal , vendo-se escravo ; recolheu e guardou a rude ciência dos olhos que distinguem as plantas ; onde foi , procurou , experimentou , achou vegetais venéficos ; conheceu uns pela experiência de outros escravos , foi ensaiando muitos nos animais domésticos , no gado da fazenda ; no aspecto , no sabor , no cheiro adivinhou às vezes o veneno nas flores , nos frutos , nas raízes do cipó , do arbusto , da árvore ; preparou assim sua ciência prática , misturou-a com sacrilegas rezas , com imprecações e votos desprezíveis e com uma química extravagante , imunda , nojenta que compõe cozimentos e infusões em que dez ou mais substâncias inertes ou apenas asquerosas se ajuntam com uma que é o veneno que opera .	3	negro	negro
790	um negro escravo	E sempre que puserdes a mão em um desses feiticeiros , encontrareis nele um negro escravo ... ou algum seu iniciado .	3	negro	negro
806	um negro feio	Entre eles vinha Pai-Raiol , um negro feio e já desfigurado por moléstia ou por castigos .	3	negro	negro
807	este negro !	Teresa , que acudira a receber seu marido , ao correr com os olhos os seus novos escravos , sentiu um movimento de repulsão vendo o Pai-Raiol , e voltando o rosto , disse baixo a Paulo Borges : – Que má cara tem este negro !	3	negro	negro
