id	Janela	Sentence	tamanho da janela	Palavra alvo	Classe
39	do negro concurso	Há poucos anos , em um dia calmoso do mês de fevereiro , viam-se às três horas da tarde nessa venda certas figuras , formando um quadro quase constantemente ali observado com insignificantes modificações até a hora do negro concurso noturno .	3	negro	negro
39	hora do negro concurso noturno	Há poucos anos , em um dia calmoso do mês de fevereiro , viam-se às três horas da tarde nessa venda certas figuras , formando um quadro quase constantemente ali observado com insignificantes modificações até a hora do negro concurso noturno .	5	negro	negro
39	a hora do negro concurso noturno .	Há poucos anos , em um dia calmoso do mês de fevereiro , viam-se às três horas da tarde nessa venda certas figuras , formando um quadro quase constantemente ali observado com insignificantes modificações até a hora do negro concurso noturno .	7	negro	negro
54	do negro trabalhador	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	3	negro	negro
54	esparramados do negro trabalhador de	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	5	negro	negro
54	pés esparramados do negro trabalhador de enxada	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	7	negro	negro
54	os pés esparramados do negro trabalhador de enxada :	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	9	negro	negro
54	nem os pés esparramados do negro trabalhador de enxada : era	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	11	negro	negro
54	, nem os pés esparramados do negro trabalhador de enxada : era um	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	13	negro	negro
54	calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo	Havia em seus modos a expansão que só parece própria do homem livre : ele não tinha nem as mãos calejadas , nem os pés esparramados do negro trabalhador de enxada : era um escravo de cabelos penteados , vestido com asseio e certa faceirice , calçado , falando com os vícios de linguagem triviais no campo , mas sem a bruteza comum na gente da sua condição ; até certo ponto , pois , aceito , apadrinhado , protegido e acariciado pela família livre , pelo amor dos senhores .	15	negro	negro
